Country,12/30/2019,1/6/2020,1/13/2020,1/20/2020,1/27/2020,2/3/2020,2/10/2020,2/17/2020,2/24/2020,3/2/2020,3/9/2020,3/16/2020,3/23/2020,3/30/2020,4/6/2020,4/13/2020,4/20/2020,4/27/2020,5/4/2020,5/11/2020,5/18/2020,5/25/2020,6/1/2020,6/8/2020,6/15/2020,6/22/2020,6/29/2020,7/6/2020,7/13/2020,7/20/2020,7/27/2020,8/3/2020,8/10/2020,8/17/2020,8/24/2020,8/31/2020,9/7/2020,9/14/2020,9/21/2020,9/28/2020,10/5/2020,10/12/2020,10/19/2020,10/26/2020,11/2/2020,11/9/2020,11/16/2020,11/23/2020,11/30/2020,12/7/2020,12/14/2020,12/21/2020,12/28/2020,1/4/2021,1/11/2021,1/18/2021,1/25/2021,2/1/2021,2/8/2021,2/15/2021,2/22/2021,3/1/2021,3/8/2021,3/15/2021,3/22/2021,3/29/2021,4/5/2021,4/12/2021,4/19/2021,4/26/2021,5/3/2021,5/10/2021,5/17/2021,5/24/2021,5/31/2021,6/7/2021,6/14/2021,6/21/2021,6/28/2021,7/5/2021,7/12/2021,7/19/2021,7/26/2021,8/2/2021,8/9/2021,8/16/2021,8/23/2021,8/30/2021,9/6/2021,9/13/2021,9/20/2021,9/27/2021,10/4/2021,10/11/2021,10/18/2021,10/25/2021,11/1/2021,11/8/2021,11/15/2021,11/22/2021,11/29/2021,12/6/2021,12/13/2021,12/20/2021,12/27/2021,1/3/2022,1/10/2022,1/17/2022,1/24/2022,1/31/2022,2/7/2022,2/14/2022,2/21/2022,2/28/2022,3/7/2022,3/14/2022,3/21/2022,3/28/2022,4/4/2022,4/11/2022,4/18/2022,4/25/2022,5/2/2022,5/9/2022,5/16/2022,5/23/2022,5/30/2022,6/6/2022,6/13/2022,6/20/2022,6/27/2022,7/4/2022,7/11/2022,7/18/2022,7/25/2022,8/1/2022,8/8/2022,8/15/2022,8/22/2022,8/29/2022,9/5/2022,9/12/2022,9/19/2022,9/26/2022,10/3/2022,10/10/2022,10/17/2022,10/24/2022,10/31/2022,11/7/2022,11/14/2022,11/21/2022,11/28/2022,12/5/2022,12/12/2022,12/19/2022,12/26/2022,1/2/2023,1/9/2023,1/16/2023,1/23/2023,1/30/2023,2/6/2023,2/13/2023,2/20/2023,2/27/2023,3/6/2023,3/13/2023,3/20/2023,3/27/2023,4/3/2023,4/10/2023,4/17/2023,4/24/2023,5/1/2023,5/8/2023,5/15/2023,5/22/2023,5/29/2023,6/5/2023,6/12/2023,6/19/2023,6/26/2023,7/3/2023,7/10/2023,7/17/2023,7/24/2023,7/31/2023,8/7/2023,8/14/2023,8/21/2023,8/28/2023,9/4/2023,9/11/2023,9/18/2023,9/25/2023,10/2/2023,10/9/2023,10/16/2023,10/23/2023,10/30/2023,11/6/2023,11/13/2023,11/20/2023,11/27/2023,12/4/2023,12/11/2023,12/18/2023,12/25/2023,1/1/2024,1/8/2024,1/15/2024,1/22/2024,1/29/2024,2/5/2024,2/12/2024,2/19/2024,2/26/2024,3/4/2024,3/11/2024,3/18/2024,3/25/2024,4/1/2024,4/8/2024,4/15/2024,4/22/2024,4/29/2024,5/6/2024,5/13/2024,5/20/2024,5/27/2024,6/3/2024,6/10/2024,6/17/2024,6/24/2024,7/1/2024,7/8/2024,7/15/2024,7/22/2024,7/29/2024,8/5/2024,8/12/2024,8/19/2024,8/26/2024,9/2/2024,9/9/2024,9/16/2024,9/23/2024,9/30/2024,10/7/2024,10/14/2024,10/21/2024,10/28/2024,11/4/2024,11/11/2024,11/18/2024,11/25/2024,12/2/2024,12/9/2024,12/16/2024,12/23/2024,12/30/2024,1/6/2025,1/13/2025,1/20/2025,1/27/2025
CN,1,44,80,1860,12426,22840,31333,8458,2926,891,189,450,843,589,552,719,137,55,37,54,41,45,59,100,268,193,116,216,415,902,1463,847,612,380,210,166,149,174,126,155,184,184,185,247,274,233,220,681,831,790,766,608,648,680,1142,1342,838,342,220,164,220,181,262,176,159,210,205,202,169,183,141,617,2762,3959,3521,1634,1247,810,538,425,377,515,624,847,694,320,297,236,313,558,393,310,250,199,311,513,632,550,252,252,629,689,712,1064,1650,1643,1876,1323,1642,2057,8591,31127,120387,302580,158173,84389,43971,32276,21648,30667,42303,91983,227721,414077,554051,573340,513969,489982,406469,323183,230021,223915,197555,180690,172003,163340,166696,172424,194464,238044,263288,297693,292476,303092,333830,328910,285348,257994,219102,171745,158813,144205,146141,1117898,11098550,40475477,24644876,8061762,2361571,755183,175542,192969,148174,118748,77670,84790,92268,65301,13602,1060,1228,1699,2206,3082,3736,4440,4437,6466,5030,6956,4555,2437,3878,2733,2666,2445,2541,1954,964,1463,1587,1647,1527,1025,1152,2551,1555,1372,1070,805,636,559,467,390,420,397,395,505,585,1029,1352,1315,1331,1495,1267,1208,3028,1999,3018,3426,2485,1768,1368,1511,1431,1403,1566,1754,1414,1108,799,731,805,910,1243,1671,1879,1988,2103,2087,2228,1376,1153,1063,667,488,169,279,192,67,101,76,73,38,44,22,47,68,58,95,56,93,89,0,0,0
JP,0,0,1,2,12,10,27,80,107,216,325,266,647,1578,3477,3613,2821,1657,908,538,265,301,290,288,435,526,1132,1980,3140,4740,7307,10094,7931,7033,5517,4155,3799,3439,3033,3649,3573,3744,3878,4612,5940,9591,13502,14474,15445,17189,18593,21432,26535,42905,41542,36519,24705,15472,10792,9815,7176,7219,7914,8875,11833,16711,20961,27766,32811,35999,37182,43131,35689,25623,17914,12830,10056,10469,11078,13881,20822,28908,65441,95410,113250,155807,154011,117008,68173,37166,17964,10371,5927,3747,2218,5926,1336,1266,1008,669,799,878,1144,1825,3019,30796,114235,289814,499985,630951,611609,572555,469867,438913,378863,331694,273629,324367,337477,334688,285761,241921,197600,273523,245627,192931,134170,105948,98001,103653,122586,269760,559111,969068,1379099,1496968,1395301,1476374,1258772,1164787,537181,605919,535502,306958,208547,218276,233682,281974,401693,503766,593075,698772,749895,849371,1046650,1149932,946130,1070496,1025321,672526,438754,292614,223365,141082,95874,78930,65012,51856,47096,47398,53989,56847,65510,74812,64976,24579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR,0,0,1,2,12,12,3,526,2970,3608,1028,735,686,654,275,149,67,65,81,176,140,278,308,308,337,294,374,328,328,405,216,232,720,2081,2300,1478,999,799,636,480,515,593,637,799,791,1118,2126,3091,3776,5221,6896,7201,7396,4844,3623,2796,2989,2673,2685,3456,2703,2790,3197,3058,3062,3620,4394,4505,4732,4342,4044,4516,4178,3880,4297,3638,3233,4066,5223,8351,10057,10963,10835,11446,13034,12297,12271,11728,12636,13121,16019,16224,13039,10629,9644,13296,15307,15774,20785,25947,33158,45729,47328,41254,30535,25184,28644,45378,104291,199263,360282,652917,1076295,1532514,2199242,2716348,2420314,1998392,1423253,928917,576068,366118,269340,230350,172329,118806,82261,60570,50785,49360,60188,122234,249912,449856,564437,713078,866830,884373,743487,585374,435695,389579,225662,199483,151178,149676,176869,241465,299440,355990,364536,378751,370574,420392,459811,470762,457745,403800,286291,192638,150072,107810,92788,79372,69307,66037,69816,64299,70226,71121,73678,75087,89417,92327,106860,130356,133183,105688,100866,135758,21070,113819,113120,124548,150444,204911,271581,651129,81573,281745,282263,256742,135331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG,0,0,0,4,14,22,32,17,13,36,74,220,370,387,1110,3693,6701,4855,4912,4896,3712,3298,3161,2670,1636,1413,1418,1118,1873,2233,2624,2417,732,605,451,265,375,201,127,115,66,38,61,50,39,62,32,57,50,58,90,116,178,210,206,195,228,163,101,69,67,97,72,91,104,178,175,178,175,212,141,226,239,204,168,80,138,130,73,75,381,1106,923,662,408,306,826,1356,3027,6117,10088,15951,23123,21212,24466,25730,19959,18870,14985,10195,6828,4151,2548,1854,2526,5357,6202,21923,34558,49493,71672,113143,128242,121941,106615,75581,56988,37739,28257,22299,21868,17472,18282,24962,26751,26285,23064,22272,26505,40597,52749,62774,65218,63882,55969,45827,36269,23871,16415,13453,13712,14793,16254,21873,36985,57482,53825,36811,24915,16441,10918,13800,8795,8366,8654,5481,8324,5456,3876,2518,1825,2992,2881,244,3849,4471,4426,10352,10464,14467,28410,16018,26072,27818,23417,22624,24296,20767,14851,8531,10432,6717,11736,4302,8544,5632,4738,4951,3485,4951,7045,6650,4295,7248,6401,14843,15336,16250,14801,17123,16062,16395,15441,10726,22094,32035,56043,58300,39100,21200,19800,12200,10700,5880,4370,3000,2040,2450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,0,0,0,0,2,5,0,0,0,32,68,253,619,2395,4982,7356,10784,13484,22959,27988,40941,50275,64485,74294,89539,118398,144306,176388,228065,307904,365201,402287,436672,455258,497793,571078,640545,646263,591913,556841,504433,440745,370260,319271,323672,306825,281227,297113,251303,212807,174194,156627,136115,126319,107701,96548,91650,80180,78577,86711,105080,114068,148249,240082,372494,513885,873296,1429304,2172063,2597285,2738957,2387663,1846055,1364668,914539,630650,441976,351218,312250,291789,268843,265836,283923,278631,258121,231658,270796,293643,248248,211242,204582,161158,139572,114244,107749,97832,82236,81771,73106,62110,60732,57255,49765,46527,102330,638872,1594160,2115100,1855258,1095616,443283,191052,93644,46836,28038,16850,11612,8678,7140,6826,15448,21643,23006,19405,14772,16672,23774,45200,74675,93281,112456,120222,127948,138156,131056,125921,107732,85965,68703,48403,38824,38829,33926,26373,17526,16815,13914,9524,8313,5798,2638,2547,1830,1430,1130,1154,1543,1275,1116,881,718,724,755,799,1100,1803,2672,4928,8727,18458,34011,61499,73874,53400,24241,11044,5787,3283,1838,1206,692,472,329,294,303,386,324,392,294,325,364,363,384,452,363,313,490,260,1464,193,139,72,119,189,415,876,1761,3804,4552,4962,3624,1993,1325,1063,1012,902,982,1177,1202,1241,989,716,695,518,624,756,823,742,622,370,362,164,38,210,334,134,0,440,243,313,306,266,200,282,235,190,188,190,187,156,133,115,85,65,62,48,29,36,11,17,0,24,6,7,13,3
US,0,0,0,7,2,11,4,16,33,391,3465,27486,94894,176151,219172,196150,205165,198436,182246,169032,166325,146436,149780,151876,180021,258278,342166,392205,466267,467901,431250,375909,362662,315788,294946,295253,245621,280977,304774,298348,334249,387634,449438,559394,790094,1004845,1175483,1162401,1280932,1468482,1517928,1360122,1380995,1667151,1589955,1265861,1068625,857250,670572,473485,465751,420739,384000,379551,417818,449960,455950,467217,406095,338407,292324,233350,181609,147811,99112,99565,80627,87637,97037,286510,222579,359027,547086,743056,886464,1019966,1094890,1144251,1022570,1037454,852294,755688,681984,582237,508543,526186,510211,557180,676876,592394,751017,834969,899109,1417419,2712038,4682897,5650933,5042888,3789262,2188710,1222112,708156,458272,332509,234332,208740,193469,194464,201192,247939,300721,378549,465658,604955,734495,740720,675627,741044,672256,709637,773772,743769,888229,908695,947983,788051,701618,644925,610329,580363,449509,406901,368725,321234,280584,251280,283734,255156,267304,282897,274984,300171,302599,462223,446014,508009,392203,471714,448092,308025,294867,285402,278228,254372,267168,227828,170593,126613,152968,176358,103472,104057,98467,86484,77165,93260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,0,0,0,1,3,3,0,2,6,36,125,795,3704,7844,9614,9739,12005,11173,11372,8180,7867,6938,4917,3608,2686,2165,2296,2035,2544,3535,3105,2672,2682,2720,2938,3814,4502,6285,8545,12203,15458,15989,17626,20267,23810,31509,33401,38345,43504,46271,46504,43898,49698,55410,51355,41703,33386,26963,22550,20280,20961,20207,21462,23846,29593,38181,50441,60788,58515,54838,53748,45246,33709,22152,15229,10215,7541,5043,4015,3648,2677,3070,4772,7218,12150,16015,20570,24776,26881,31093,29621,30335,26222,21482,19068,16214,15555,17666,17085,19737,20188,25396,39945,94023,226586,293833,238269,171610,124003,94313,70502,53473,42675,40513,38996,37339,42171,56397,68656,66946,63247,54519,41069,32418,25055,18400,17026,12670,23312,15463,17752,22662,27557,32435,33319,28849,25692,23906,23082,21086,18478,16726,17558,18643,19634,20412,21454,21359,20964,18396,15289,14582,15134,16209,16625,17398,16395,16691,16796,13674,11455,10337,10333,10322,9670,9161,8947,8585,8346,7850,7085,6293,6605,5770,5230,4633,1805,1638,1546,1266,1012,860,759,638,761,934,1006,1041,1078,1600,2090,2316,2672,3234,4002,4747,4658,4260,4856,4936,4945,5061,5924,6132,5603,5482,5448,5261,6102,5079,3939,3121,2623,2446,2132,1915,1653,1496,1218,1380,1119,888,1031,1102,1023,1167,1283,1355,1717,1470,1351,624,578,553,605,600,519,467,327,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MX,0,0,0,0,0,0,0,1,5,45,183,669,1214,2134,3291,5958,9264,11571,15196,19538,24187,26973,30556,34822,37587,39306,43553,44406,49775,50177,45999,41814,39452,37867,39230,38873,35339,29659,33716,32636,33071,38778,44301,42679,40741,48200,44816,56457,64076,73050,77433,64816,72877,105375,110588,104374,90123,61598,53192,43136,42204,40192,34305,28302,28664,21218,26011,23767,20925,19142,16175,14482,14750,15313,16193,19451,22779,29738,37423,55106,78515,102995,122311,128282,135141,120883,103015,87342,76284,57961,58868,44758,36194,31059,25762,23445,18907,20001,17228,19349,18247,17484,16128,21003,56920,194803,406782,406815,282729,166547,86372,61576,37281,21369,14069,10068,6920,6523,4757,3205,3846,3993,4324,5359,7750,12237,19550,34371,55313,97266,152465,200105,213873,179987,122038,80263,53654,33244,22956,16411,12055,7691,7673,5199,3878,2867,2657,2840,2896,4403,5670,7419,12749,19203,26720,33950,30816,31932,29637,25514,23596,20573,18694,19702,20305,19418,20313,19021,15357,15113,8608,9869,9401,9419,8109,7429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,302,547,624,659,728,670,604,550,387,263,219,144,208,134,140,124,92,108,139,125,123,144,183,195,262,403,541,954,902,684,632,469,330,291,247,158,136,91,89,49,32,27,33,39,18,20,17,28,18,9,0,0,0,0,0,0
