"month","n_seq","seg_sites","n_haplotypes","hap_diversity","nuc_diversity_pi","theta_watterson","mean_pairwise_dist","max_pairwise_dist","tajima_d","ne_estimate_pi","ne_estimate_theta"
"2020-01",31,84,538038,0.963440860215054,0.000179147009614068,21.026350585677,0.000216904318682916,0.000552352677184382,-2.6315895137392,19.4725010450074,2285472.8897475
"2020-02",108,137,2571744,0.991173416407061,6.9551666775438e-05,26.0718473377935,0.000169483481607495,0.000724262803931712,-2.67556055332385,7.55996377993891,2833896.44976017
"2020-03",157,238,3050106,0.983423158582394,0.000247725243021345,42.2714820581885,0.000326201555161346,0.000759301442672741,-2.4983620586265,26.9266568501462,4594726.31067266
"2020-04",30,75,717672,0.981609195402299,0.000244801896095932,18.9314876644902,0.000298591226997073,0.00061033500610335,-2.01570629198201,26.6089017495578,2057770.39831415
"2020-05",8,37,179406,0.928571428571429,0.000437614642709217,14.2699724517906,0.000439970598671403,0.000736352378083476,-0.461694053665035,47.5668089901323,1551083.96215116
"2020-06",25,87,538254,0.963333333333333,0.000477204438450801,23.0405094295193,0.000493227300846019,0.00115242517710063,-1.43513311131095,51.8700476576957,2504403.19886079
"2020-07",455,359,4694771,0.896596795275209,7.90798461281703e-05,53.6107850832195,0.000164755663728351,0.0010275380189067,-2.75226533715799,8.59563544871416,5827259.24817603
"2020-08",174,190,2810882,0.981463025712577,0.000139921182530434,33.1391804768426,0.000210730826703163,0.00112762685802153,-2.59568567296021,15.2088241880906,3602084.83443941
"2020-09",75,286,1614762,0.987027027027027,0.000433186450836093,58.5103713955388,0.000639611728793401,0.00117674746999294,-2.35231791404759,47.0854837865319,6359822.97777595
"2020-10",70,210,1136124,0.927950310559006,0.000393684141978995,43.5815659335423,0.000530631217993036,0.00130951581492176,-2.22929816176004,42.7917545629343,4737126.73190678
"2020-11",310,542,4575465,0.909134565194697,0.000253269497882237,85.8658179437795,0.000343535064135949,0.00149471753235724,-2.7489977712786,27.5292932480692,9333241.08084559
"2020-12",387,1319,5173219,0.963208418684982,0.000164312906583552,201.856411378494,0.000283035800439414,0.00222880027860003,-2.96061219766319,17.8600985416904,21940914.2802711
"2021-01",199,1186,2900591,0.955941322775494,0.000434634826949125,202.112955555329,0.000454472461357554,0.00224633674315731,-3.01043069873625,47.242915972731,21968799.5168836
"2021-02",53,214,1046605,0.97677793904209,0.000704880249288901,47.1568813182408,0.000711390080326272,0.00168321831341525,-1.99457039054325,76.6174184009675,5125747.969374
"2021-03",220,477,4318416,0.961394769613948,0.000609653165845357,79.9186570521221,0.000692887963200804,0.00228602164996974,-2.36631921456605,66.2666484614518,8686810.54914371
"2021-04",153,500,3106688,0.987530099759202,0.00125993886357852,89.2159020049036,0.00148551890022838,0.00243768454301998,-1.66670640578362,136.949876475926,9697380.65270691
"2021-05",30,275,714768,0.986206896551724,0.0014489647111414,69.4154547697973,0.00152517913001935,0.00231932773109244,-1.38839231305977,157.4961642545,7545158.12715188
"2021-06",99,386,2452784,0.995258709544424,0.000837828387570526,74.7008601991512,0.000897794628199204,0.00267811158798283,-2.18450765412292,91.0683029967963,8119658.71729904
"2021-07",45,297,1285055,0.997979797979798,0.000916506088919882,67.9210193470152,0.000929683139260181,0.00257138990391122,-2.18397325175487,99.6202270565089,7382719.49424078
"2021-08",73,712,1890000,0.991628614916286,0.00089407123858336,146.477640044672,0.000928520378845889,0.00298781108885343,-2.84884251447916,97.1816563677566,15921482.6135513
"2021-09",79,505,2249925,0.998377150275884,0.000803154897329173,102.220077354653,0.000915174819807607,0.00215183915002354,-2.55248265838332,87.2994453618666,11110877.9733319
"2021-10",63,465,1674624,0.995903737839222,0.000903231905066643,98.6759828962086,0.000923518143492062,0.00198693338721627,-2.56623078103307,98.1773809855046,10725650.3148053
"2021-11",150,1094,3932358,0.99668903803132,0.00118109212924344,195.898875942397,0.00129768559907066,0.00339655636265806,-2.6525522317877,128.379579265591,21293356.0806953
"2021-12",385,968,9851480,0.998511904761905,0.00112197206454649,148.257974867695,0.00153061126326977,0.00375966517698801,-2.15119845777554,121.953485276792,16114997.2682277
"2022-01",1169,919,21642672,0.992834292276504,0.000880925739588052,120.277066280662,0.00118702100778707,0.00460668667550778,-2.07561748362121,95.75279778131,13073594.1609415
"2022-02",1205,982,20259992,0.989046194565832,0.00028567230052675,128.014007755964,0.000333682662026717,0.00448645501558273,-2.68667415991294,31.0513370137771,13914566.0604308
"2022-03",845,1044,19347888,0.993171429372669,0.000102688699991804,142.701700722548,0.000129897548751828,0.000607246474596856,-2.87917718248901,11.1618152165004,15511054.4263639
"2022-04",626,2914,17112315,0.998711821086262,0.000222382796041391,415.35016170336,0.00029887300263398,0.00271571857913604,-2.95019190189284,24.1720430479772,45146756.7068869
"2022-05",824,1653,19598255,0.998041736955727,0.000329049889752495,226.724735097976,0.000422451329836838,0.00150232177000819,-2.80528352409018,35.7662923644016,24643992.9454322
"2022-06",1429,1703,24027118,0.990089247735483,0.000297537563252051,217.175179669959,0.000488849336706184,0.00166479801583257,-2.70324346136429,32.3410394839185,23605997.7902129
"2022-07",1416,1796,26432658,0.994438122616837,0.000289568860552326,229.302342292263,0.000508698923739661,0.00223612033122532,-2.70761985252479,31.4748761469919,24924167.6404633
"2022-08",1321,2125,28075568,0.997920537701007,0.000448614073957255,273.735036178127,0.000705647533768773,0.00185841018268523,-2.68639541766489,48.7623993431798,29753808.2802312
"2022-09",994,2574,23991440,0.998152054319877,0.000328319024080577,344.188980266072,0.000640087303591696,0.00389601190054544,-2.78466466517878,35.686850443541,37411845.6810948
"2022-10",760,1841,18449295,0.997247070244782,0.000698542716868457,255.344195224897,0.000797432201266447,0.00228260869565217,-2.70713810823439,75.9285561813541,27754803.8287932
"2022-11",643,1739,15803040,0.998255839304661,0.000949627238723919,246.926461933869,0.000996388180726109,0.00404511329745295,-2.64839204742703,103.220352035209,26839832.8188989
"2022-12",560,1533,15604720,0.999514439049323,0.000903531247340077,222.036851119,0.00130014516062054,0.00239348970799426,-2.50646557809767,98.2099181891388,24134440.3390217
"2023-01",438,1541,12517680,0.99978057114197,0.00113592436768866,231.440715400212,0.00145246170222129,0.00245787767605885,-2.50595694591223,123.470039966159,25156599.500023
"2023-02",349,1659,9638643,0.99927543391628,0.00125759875283055,257.975058764757,0.00156231803433651,0.00405892438503797,-2.55938265197926,136.695516612016,28040767.2570388
"2023-03",179,774,4431558,0.996798694369468,0.0011203075978557,134.332890980553,0.00128128597239512,0.0028626612402566,-2.33649424071462,121.772564984315,14601401.1935384
"2023-04",425,1667,11959023,0.999655937846837,0.000758946905748624,251.503897432024,0.000920977507974336,0.00463152159106389,-2.7452077177093,82.49422888572,27337380.1556548
"2023-05",473,1790,13612056,0.999802916830903,0.000642041421660262,265.765790972961,0.000797667676988729,0.00418523018766032,-2.78746641484117,69.7871110500285,28887585.9753218
"2023-06",412,2205,12005600,0.999834644367278,0.000557655650441294,334.241574502891,0.000851372232471563,0.00439391825917143,-2.85273514820754,60.6147446131842,36330605.9242273
"2023-07",292,2067,8594872,0.999858777008897,0.000735852535505357,330.600657867765,0.00080761304245171,0.0025967813578433,-2.92417364188956,79.9839712505823,35934854.1160614
"2023-08",39,354,1129550,0.998650472334683,0.00107238706661546,83.7294712334362,0.00109109282663306,0.00300259775311224,-2.30455474091781,116.563811588637,9101029.48189524
"2023-09",37,418,1101749,1,0.000978558216372101,100.130332400354,0.000991851056550598,0.00455193966981453,-2.67990421228734,106.365023518707,10883731.7826471
"2023-10",25,328,743400,1,0.00132501507376918,86.8653688837048,0.00135572056620473,0.0038682094262156,-2.1820316972458,144.023377583607,9441887.92214182
"2023-11",13,211,386412,1,0.00122373512712018,67.994094465305,0.00121731467679137,0.00313127531397842,-2.18377484053603,133.014687730454,7390662.44188098
"2023-12",16,242,477888,1,0.00166470409481121,72.930469986795,0.0018334556130593,0.00347826086956522,-1.2241110021482,180.946097262088,7927224.99856467
"2024-01",299,714,7110250,0.996902426432628,0.000430046711869711,113.766982999021,0.000470024541191989,0.00361084616432757,-2.75071709240024,46.7442078119251,12365976.4129371
"2024-02",177,590,4256967,0.995441705187468,0.000393768694096028,102.599098108143,0.000411640475998469,0.00344176002159536,-2.85718096108165,42.8009450104378,11152075.8813199
"2024-03",22,167,624582,0.995670995670996,0.000902405572492252,45.8116782257426,0.000961313959047094,0.0017579445571332,-1.55531262755184,98.0875622274187,4979530.24192854
"2024-04",35,308,1041005,1,0.000845842534229716,74.7897753428271,0.000816239107679942,0.00374835376354979,-2.57396437736877,91.9394058945343,8129323.40682903
"2024-05",72,327,2022456,0.998043818466354,0.000726104905008481,67.465506894626,0.000743740150591653,0.00188590287600189,-2.34939681377287,78.9244461965741,7333207.271155
"2024-06",59,263,1457064,0.993571011104617,0.000521468557025281,56.6047328431362,0.000534563516215179,0.00101378751013788,-2.5615567937533,56.6813648940523,6152688.35251481
"2024-07",96,490,2678490,0.998684210526316,0.000934012077271398,95.3985487200256,0.000951702510039918,0.00206334468172908,-2.40145597630229,101.523051877326,10369407.469568
"2024-08",130,647,3151486,0.966964818127609,0.000858822178255448,118.914171419899,0.000856814212761638,0.00215560794880431,-2.61255982830587,93.3502367668965,12925453.4152064
"2024-09",96,558,2709070,0.99890350877193,0.00109528822412245,108.637530991376,0.00109163348437222,0.00230939038886059,-2.39471081972486,119.053067839396,11808427.2816713
"2024-10",75,530,2171896,0.999279279279279,0.0012126331446327,108.428310628096,0.00131196738506659,0.00263033654818911,-2.243680223943,131.807950503554,11785685.9378366
"2024-11",56,876,1671880,1,0.00133279715208649,190.69959752495,0.00137385890299829,0.0064025747252371,-2.85876002072957,144.869255661575,20728217.1222772
"2024-12",78,485,2290442,0.999666999667,0.00105753351950052,98.4271835654836,0.00111107440290609,0.00260813602953629,-2.3172631596204,114.949295597883,10698606.9092917
"2025-01",88,511,2377040,0.996865203761755,0.00128480648572107,101.210968434251,0.00132600331187362,0.00296402289452167,-2.10718264435522,139.652878882725,11001192.2211143
